                  劣化訓練      一般訓練  self-pla   多智能體競技場      LoRA  checkpoi       博弈論     MCCFR  MCT 蒙地卡羅  顯卡驅動 TDR  valid_ra  訓練目標 obj
劣化訓練              1.00      0.91      0.83      0.84      0.77      0.81      0.81      0.78      0.83      0.83      0.81      0.88
一般訓練              0.91      1.00      0.83      0.84      0.78      0.81      0.82      0.79      0.83      0.82      0.80      0.90
self-pla          0.83      0.83      1.00      0.88      0.80      0.84      0.90      0.80      0.88      0.86      0.85      0.84
多智能體競技場           0.84      0.84      0.88      1.00      0.78      0.81      0.84      0.79      0.85      0.83      0.82      0.83
LoRA              0.77      0.78      0.80      0.78      1.00      0.79      0.77      0.85      0.81      0.79      0.79      0.79
checkpoi          0.81      0.81      0.84      0.81      0.79      1.00      0.80      0.81      0.86      0.85      0.84      0.82
博弈論               0.81      0.82      0.90      0.84      0.77      0.80      1.00      0.78      0.84      0.81      0.83      0.81
MCCFR             0.78      0.79      0.80      0.79      0.85      0.81      0.78      1.00      0.84      0.80      0.78      0.80
MCT 蒙地卡羅          0.83      0.83      0.88      0.85      0.81      0.86      0.84      0.84      1.00      0.88      0.83      0.85
顯卡驅動 TDR          0.83      0.82      0.86      0.83      0.79      0.85      0.81      0.80      0.88      1.00      0.83      0.83
valid_ra          0.81      0.80      0.85      0.82      0.79      0.84      0.83      0.78      0.83      0.83      1.00      0.81
訓練目標 obj          0.88      0.90      0.84      0.83      0.79      0.82      0.81      0.80      0.85      0.83      0.81      1.00
